draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
198,-541.4900457198319,-36.88902657099102,-187.93036646171652,-78.07240454427571,-2.2267436649894474
199,-598.0441674396841,-32.992205004046895,-193.5798901940296,-70.39965849458677,-2.575111428490556
200,-619.1924127942789,-34.3438819343664,-190.00507662368992,-72.16627947803754,-2.6083670254867717
201,-439.35226762503316,-44.13925353666787,-201.6925865064837,-75.39340417217332,-2.6362281345756067
202,-544.2963747364444,-24.579423008052792,-190.07190873611205,-66.39633160067265,-1.438026970023004
203,-639.342937048698,-21.975219944396237,-197.00699255228088,-72.35227669316453,-3.0123918396103004
204,-583.1300538731961,-44.29819224751344,-194.46854055397208,-75.39104133716785,-2.589798744050054
205,-493.3758580825022,-26.368148349637508,-190.77765719087714,-72.15829127018914,-1.5075724125159502
206,-567.6108851339972,-52.60528889379235,-198.79068088953278,-76.3682537787863,-1.3124291822201775
207,-414.8121690176191,-47.133704434300874,-202.16612902232126,-72.57157183642921,-1.4740513978018706
208,-476.04562565399954,-40.07539377795054,-206.33861525211123,-72.21407349236931,-3.1529143460514133
209,-582.4594519681685,-42.73688638345944,-197.0720420113644,-70.72167110811736,-2.516275386206982
210,-530.1633386813461,-40.20307413229059,-179.26055583874123,-71.09080084456448,-2.335216358768907
211,-452.5443300816185,-43.15560370154139,-183.9368834045166,-73.76960283422875,-2.82018910764554
212,-446.7928524123761,-38.01633308416266,-189.79912203813424,-85.75996667727847,-3.3708779409876475
213,-442.77880110054025,-45.26926094819199,-180.4089376564155,-75.89817897633273,-3.994458288341845
214,-509.99401439886475,-43.70876992960689,-201.5756227534633,-73.71255544654721,-3.022186398020952
215,-533.6907109910244,-42.394679387921265,-201.87276491085154,-75.89112495709072,-1.2880945582946233
216,-381.27572206948355,-35.90005365813828,-191.53716604803475,-66.96397238821154,-3.186245604683823
217,-504.91296985450936,-50.16779965917698,-175.41226782575507,-76.26906227937194,-3.1256515095311386
218,-502.743613208784,-40.050091036047064,-189.23425854801133,-77.06981855056212,-1.9768431992091924
219,-543.9993035093827,-30.058562869988304,-185.93418469248877,-72.10521866722993,-2.275595092318453
220,-365.6709240704331,-34.048226890059176,-195.62699879973002,-78.3773651341109,-2.7394672135938145
221,-490.37704025731637,-47.78085284248532,-188.60516832682683,-75.47023139442473,-2.379900619726388
222,-375.87626023404357,-45.99457539310216,-176.8860593188515,-74.85119869614462,-3.869330300180566
223,-591.5773885071952,-37.98638600147437,-195.09367435704107,-74.0112512702858,-1.5993943016818188
224,-597.7412234666676,-45.14872185650576,-177.31309424102437,-63.230148323372454,-0.6613203851542897
225,-424.4863233252265,-29.4970580578625,-210.27898105027683,-79.04313273931763,-3.036925086266132
226,-443.4062757774053,-50.714116634386976,-214.65467692543146,-74.83815639348514,-1.8125891629117237
227,-594.4007227549979,-25.938759104696064,-204.29508883273448,-82.54597242862141,-0.7020654440219684
228,-525.5239197002851,-46.97419031654816,-178.95763144086203,-66.66861434120631,-2.8027541238381013
229,-582.4633112404046,-48.35286835658228,-192.54544051077684,-71.40056206864742,-1.1947132603921957
230,-439.59031091042357,-36.88863499020042,-195.96866771890436,-74.5025102662445,-2.263184242212196
231,-592.1807750313835,-33.77531770520419,-181.4765511073695,-70.12126459258114,-4.929592785506732
232,-550.5712357746285,-30.283418818488016,-195.97496027867084,-77.94822648692426,-0.4137046894769976
233,-426.7616638157176,-39.25448063192587,-197.72998413695112,-67.59165659098795,-3.117098248446482
234,-503.62119557073623,-41.11748102256076,-196.98310618888067,-81.32581662523728,-2.215899458747512
235,-345.0387802412352,-40.40043702015455,-194.11503563869923,-74.21839109613073,-3.085960389788675
