draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
63,-582.7794416260641,-39.199046558513515,-193.38440526172224,-82.43166776894292,-3.0031836590974197
64,-372.6990524098476,-37.80372441904477,-195.02672133152208,-70.9526533340903,-2.2422248586206917
65,-516.9424501158126,-47.62250419030046,-212.72074538697186,-77.12988418051485,-3.9277334638319537
66,-447.4220979918702,-18.56408894870209,-204.46314483677986,-81.29450305598179,-3.008610927809597
67,-479.6889553733649,-39.718934504843695,-213.5331382491051,-72.77419048751604,-4.187105378469734
68,-491.00999156956834,-37.42043345142778,-207.29687900923477,-81.94299861616574,-2.8830627135753186
69,-450.9068793961902,-22.875604389145032,-196.1394599715263,-78.7465727341375,-2.4318173947420276
70,-411.38849338101375,-37.03926728617366,-192.42689879213012,-78.430173735905,-2.807572199405189
71,-481.7104782188097,-44.99997861402012,-187.825867129287,-81.82947001647159,-3.0289810549734897
72,-608.5478847410749,-24.221891305459366,-200.89147442818367,-76.42137299206132,-2.398869359665647
73,-626.8999856522119,-29.97362182405756,-196.80070916337613,-75.18820280453409,-4.509987651513626
74,-508.6751054918572,-45.662623640491695,-189.6131520795166,-76.43163012692148,-2.7949571811697878
75,-592.8321390155899,-37.68495635644882,-210.57018068815796,-82.50696364393478,-4.247178420170739
76,-537.4303018501923,-37.97348986610213,-202.5312139427198,-73.69818335424844,-2.0995806977673177
77,-507.51483293118383,-27.504839934642415,-200.61370762515895,-75.02074783756423,-3.314302356543509
78,-335.913129419471,-45.33661703411238,-198.9910231141075,-76.52017746667917,-1.6117935587176204
79,-491.824825029773,-42.417095754133186,-207.21293504830612,-74.43201050886509,-0.1346669305244035
80,-416.0413193300323,-43.01416069438494,-205.40111705428288,-69.5497478015093,-2.6474481527269913
81,-557.5588129977262,-27.827878567127737,-194.87820977722248,-68.34399688168133,-2.2089637913024522
82,-439.0471933534812,-39.182692545531346,-205.73449890984978,-69.61973340273755,-2.2736944521034053
83,-580.5014422054936,-66.71864883952306,-200.7794763020403,-75.57889767763453,-3.1825331953656377
84,-530.8705914172828,-20.57960093423991,-176.64383072425605,-79.94941165108064,-4.184485537244078
85,-566.597906323538,-50.093864863004114,-198.9242302287177,-76.49763722322707,-3.2963674632844735
86,-575.4857320625287,-24.748334099323884,-203.45663482215443,-75.53632873640434,-0.942437030454421
87,-612.9320383650106,-32.49544596197471,-197.87387558405152,-69.2849884475332,-1.8607972314001255
88,-567.1340273152681,-28.418045925591688,-197.31578278394886,-76.19769611600971,-5.3689440009664695
89,-497.8911981574269,-29.65410464033374,-199.3484157172171,-77.28530316666158,-1.6980680876173735
90,-617.0437350541127,-19.516558675910293,-227.13005580952898,-76.19296363132798,-3.192885304172496
91,-620.1834933448631,-45.719539440873874,-214.66983647701377,-75.41583738052685,-2.788956570391534
92,-334.8379292314038,-60.37326967914985,-202.75376033199788,-71.88833116208835,-2.0635777476034183
93,-443.73832583654547,-53.425071043859454,-198.0339303529367,-76.16305965101326,-2.9404669886497747
94,-399.8752572280361,-26.163270599088648,-204.0462755895338,-76.02133122691971,-2.021802631597283
95,-445.3848528727847,-51.797164223274386,-213.43789566497276,-77.6524552261168,-2.9697397970553325
96,-457.03410050044255,-27.276213180076248,-210.12529794426763,-78.21248005105022,-2.4603218186473677
97,-541.8524023966553,-52.32473706575994,-204.8647587579673,-79.51663071909933,-2.155374212644374
98,-370.073093197676,-24.74821726514318,-203.88298911457517,-74.73035154276009,-2.83296625025547
99,-565.7279299056507,-23.784166847249725,-201.5060778770076,-68.70301199823535,-1.0755563260158327
100,-531.5503180935508,-56.38381389185599,-204.59379266377206,-77.84549605086514,-2.0960712327818047
