draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
226,-328.66361739865584,-38.26263305632434,-158.61812281273774,-55.42267591451033,-1.3414159060340771
227,-440.29593988796756,-19.60569006174336,-150.99245911968876,-61.1063726777475,-0.5198816443909046
228,-389.39244107406057,-35.45061740009861,-132.3291066849074,-49.39355480481901,-2.073075751963325
229,-431.47575051112005,-36.4874104866168,-142.33998167501318,-52.88635324470156,-0.8844512882018865
230,-325.84052964213276,-27.859747546019026,-144.86125147091565,-55.17506954857172,-1.674470465055037
231,-438.65575708139426,-25.514260789524727,-134.1853179227429,-51.94223267386592,-3.6420018882831844
232,-407.90720373133723,-22.882291911146297,-144.86588575799996,-57.7165677939735,-0.306397809831828
233,-316.3490877088606,-29.64139753300547,-146.15836693202945,-50.07501556926622,-2.3051887496973484
234,-373.1988450679134,-31.043936795750373,-145.60834170960098,-60.206938828820654,-1.63952787027463
235,-255.86055000182225,-30.504163225302385,-143.49605765521443,-54.96546793166997,-2.28219995747865
236,-340.60968663825514,-20.650186773568887,-132.53741994539,-49.90563746271222,-2.63094946297757
237,-369.5677051670979,-22.822021324611814,-142.42093138946677,-55.591552488427496,-1.7974699980300057
238,-376.9899005650047,-27.157674042685283,-148.4558823274841,-57.6722737282469,-1.4352609908059804
239,-409.7402076236951,-29.59387396138139,-137.28329985931907,-58.81521289228351,-0.4970012002374506
240,-394.150867353229,-32.04113266503432,-158.89058831071378,-53.264425319813014,-0.10418704291545579
241,-383.59353455917085,-24.52847159786672,-139.0678873453312,-57.78213876673256,-2.5218582473869153
242,-350.9110585864668,-6.221212656491224,-144.55673353397836,-52.216469395544884,-2.4317669372091117
243,-426.24463833842344,-26.75089618870305,-147.29403168530803,-52.043433629836876,-0.40851284086060086
244,-236.90966894317955,-30.986052043129416,-141.7237587768329,-58.92094983342585,-1.4393957364530516
245,-374.39024434219357,-18.881394239671863,-138.07198016153404,-51.67786269670484,-3.020269083110423
246,-460.5948553886459,-44.076447364126004,-141.93855850938317,-55.07865259061976,-2.9026124731127685
247,-462.939017468104,-23.538923318389674,-137.24885938782106,-54.04456995749103,-2.422684690373219
248,-449.0239914054588,-35.300384300464344,-153.12489792277856,-54.385815957847136,-1.5314058401808395
249,-271.8853125269448,-25.70142410070818,-148.2231887240296,-52.77061774479179,-1.44305828658025
250,-393.1505531598711,-22.452148679000075,-147.7846870747959,-47.677022557523806,-1.9071714842919114
251,-359.2009980856514,-29.943720826336047,-155.72078072857389,-52.39586962069349,-2.8795344473789637
252,-282.3733285177345,-32.238995888733285,-141.82375142349997,-56.07968393487393,-1.4852881636678257
253,-411.38748599854017,-33.81551480514082,-149.06911319837428,-53.88829532987551,-0.5635699591373255
254,-390.1060077284101,-34.57047427588281,-133.55123045456807,-53.773093417507354,-2.056284599279249
255,-399.6115832022546,-14.22647238361706,-133.85606196783087,-55.010545607920214,-2.3683848834048393
256,-374.34112049380167,-27.06130561688723,-142.0276092944553,-54.22398349772941,-1.6122817421056077
257,-347.4237611901376,-32.42171931978741,-150.6682312302834,-54.06279659659192,-0.32945698023106007
258,-326.7586006834404,-28.52233310528422,-148.90960488622977,-56.445936741555,-0.8265767321531743
259,-446.5075383527547,-25.033297691576706,-143.86771822285476,-51.08506811423308,-2.6206990706451987
260,-341.92058124697604,-18.0248822739271,-136.2525283644474,-57.199371405985744,-1.1286627119576158
261,-457.40494213152124,-23.3612529201588,-141.22612161205186,-53.74152620417653,-1.1317160293534871
262,-343.4237233389511,-25.31939503817559,-126.58907980467009,-56.04272530745748,-2.235101422543228
263,-278.96078372076045,-33.31199146766842,-139.3051361485517,-51.04055058780921,-1.3093509398125212
264,-395.1372538302426,-40.40262858019838,-150.95576611085082,-55.01859715411737,-2.5048023382895166
265,-453.8115563882741,-27.849679595082254,-143.5807900392084,-53.13697761865202,-1.7080131905680562
266,-361.0206229208315,-41.05515475628375,-144.25181616417947,-54.88484597734899,-3.2653417901526782
267,-296.3197499459124,-36.0650124714265,-147.0372092156461,-54.66215775083792,-1.2912051098571573
268,-378.5328940569051,-19.491902014309666,-155.62652581284885,-50.501074223473374,-0.9445826006737306
269,-421.347865925986,-41.490136109481504,-136.83864402418544,-51.90668434706008,-0.6843144821987881
270,-433.8633572656378,-26.244121149634072,-152.03854798603888,-55.96724275916102,-1.8852674943369003
271,-364.05248593402285,-27.96744261747328,-148.08764945729516,-55.975580372762956,-2.616002029332591
272,-271.6358883597856,-34.29963106332475,-153.25285468318913,-51.57934961450239,-1.4403364927242608
273,-332.7183716604297,-11.230718731924158,-155.13557666780082,-50.528748335835544,-3.0470441539572133
274,-353.4075765371713,-30.835957997959493,-135.04915949063002,-54.80562346268122,-3.0932279465295642
275,-373.18810916049495,-27.74709698138416,-138.62408572502696,-53.549361386245536,-2.365543670906316
276,-297.1425574106823,-28.80433023470021,-136.1020754376336,-56.75947559615076,-2.7092098557613076
277,-366.0946294444554,-21.830162781946616,-132.32083353735348,-52.95431988231417,-2.7777448512516867
278,-401.82425662492375,-34.408752869649064,-154.29024728974548,-51.872824115959006,-2.083073437618896
279,-402.2533458831516,-20.98318940459093,-138.24405623080665,-57.83194367121417,-3.1506965876985262
280,-384.8912809332665,-27.567429550369834,-138.3084677100397,-53.6893426208717,-3.0908284488813766
281,-384.9371948011821,-20.491521018674625,-152.51494744935923,-47.65683736230393,-2.823592836346643
282,-398.9905071804147,-23.015778045329654,-131.05835352236437,-58.0328822076415,-2.532013410202947
283,-339.0826065158433,-18.695503493054005,-161.6495460476972,-49.62749726492925,-1.0146475305809177
284,-338.48206772727013,-28.548918349122694,-143.72636936777573,-54.08207296107706,-1.7900216567134106
285,-366.0666970712725,-33.035113350676454,-143.4241610223348,-54.70744912997476,-1.845972088059709
286,-244.61679471511462,-21.44295694487442,-140.7929554042713,-56.51080091189909,-3.0955418317413907
287,-350.3200925517221,-27.634995563397744,-152.0733370830001,-58.22474824836595,-0.6265947384028906
288,-392.05949502012163,-24.546085524825322,-139.5075592460812,-56.483936319568194,-2.2063294094764885
289,-357.8065347924679,-32.674430721950834,-138.8846947597938,-53.48558392820419,-1.0452061564953228
