LSOA11CD,LSOA11NM,population_2021
E01000643,Brent 024D,2612.78065455356
E01000644,Brent 022E,2030.54112911224
E01000645,Bromley 007A,1614.89080206514
E01000646,Bromley 016A,1881.87125729024
E01000647,Bromley 016B,1733.56204354763
E01000648,Bromley 016C,1920.70030876994
E01000649,Bromley 007B,2117.97801525891
E01000650,Bromley 022A,1803.13450148635
E01000651,Bromley 020A,1597.88607494533
E01000652,Bromley 022B,1879.51801583734
E01000653,Bromley 016D,1511.82741517201
E01000654,Bromley 039A,1444.09885856008
E01000655,Bromley 039B,1340.0160984016
E01000656,Bromley 039C,1488.24593064973
E01000657,Bromley 039D,1731.36079488322
E01000658,Bromley 042A,1339.8576569794
